person,personLabels,birthDates,birthPlaceLabels,deathDates,deathPlaceLabels,occupationLabels
http://www.wikidata.org/entity/Q60265744,Elias Horneman,1863-07-11T00:00:00Z,Elias Horneman,1927-03-25T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60265764,Gerhardus Antonius ter Horst,1891-11-09T00:00:00Z,Gerhardus Antonius ter Horst,1960-11-26T00:00:00Z,Enschede,photographer
http://www.wikidata.org/entity/Q60265787,Auguste Jacques Marinus van der Horst,1866-01-07T00:00:00Z,Auguste Jacques Marinus van der Horst,1931-04-06T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60265840,Petrus Hendricus Hubertus van Hout,1879-01-13T00:00:00Z,Petrus Hendricus Hubertus van Hout,1941-02-11T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60265865,Gerhardus Houwen,1875-06-22T00:00:00Z,Gerhardus Houwen,1949-01-18T00:00:00Z,Groningen,photographer
http://www.wikidata.org/entity/Q60265891,Jacob Siepko Hovingh,1890-03-25T00:00:00Z,Jacob Siepko Hovingh,1967-03-03T00:00:00Z,Amersfoort,photographer
http://www.wikidata.org/entity/Q60265942,Gerrit Hubers,1863-01-31T00:00:00Z,Gerrit Hubers,1927-01-26T00:00:00Z,Hengelo,photographer
http://www.wikidata.org/entity/Q60265997,Johannes Jacobus Frederik Hubers,1893-06-26T00:00:00Z,Johannes Jacobus Frederik Hubers,1968-06-10T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60266019,Pieter Hubers,1889-04-15T00:00:00Z,Pieter Hubers,1963-05-20T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60266194,Antonius Hendricus Huisman,1871-09-26T00:00:00Z,Antonius Hendricus Huisman,1941-04-29T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60266263,Hendrikus van Es,1870-09-06T00:00:00Z,Hendrikus van Es,1945-01-31T00:00:00Z,Rotterdam,photographer
http://www.wikidata.org/entity/Q60266288,Johannes Josephus Essers,1882-07-08T00:00:00Z,Johannes Josephus Essers,1933-03-12T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60266349,Hendrik Eijhusen,1899-10-02T00:00:00Z,Hendrik Eijhusen,1959-03-15T00:00:00Z,Enschede,photographer
http://www.wikidata.org/entity/Q60266417,Abraham Favier,1896-01-27T00:00:00Z,Abraham Favier,1975-01-09T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60266910,Gijsbertus Aloysius Clemens,1841-06-21T00:00:00Z,Gijsbertus Aloysius Clemens,1884-03-25T00:00:00Z,Amersfoort,photographer
http://www.wikidata.org/entity/Q60266939,Wilhelmus Johannes Coenen,1898-04-04T00:00:00Z,Wilhelmus Johannes Coenen,1983-06-03T00:00:00Z,Maastricht,photographer
http://www.wikidata.org/entity/Q60267025,Joseph Cohen,1887-04-16T00:00:00Z,Joseph Cohen,1952-12-12T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60267076,Reinier Schotel,1878-08-28T00:00:00Z,Reinier Schotel,1959-09-25T00:00:00Z,Rotterdam,photographer
http://www.wikidata.org/entity/Q60267174,Hendrik Adolf Paradies,1861-04-10T00:00:00Z,Hendrik Adolf Paradies,1892-10-27T00:00:00Z,Heemstede,photographer
http://www.wikidata.org/entity/Q60267216,Johannes Hendricus van Paradijs,1882-01-16T00:00:00Z,Johannes Hendricus van Paradijs,1925-05-19T00:00:00Z,Haarlem,photographer
http://www.wikidata.org/entity/Q60267241,Josephus Adrianus Joannes Franciscus Paro,1878-11-11T00:00:00Z,Josephus Adrianus Joannes Franciscus Paro,1949-06-30T00:00:00Z,Eindhoven,photographer
http://www.wikidata.org/entity/Q60267592,Hendrik Jan Plettenberg,1876-03-28T00:00:00Z,Hendrik Jan Plettenberg,1928-05-27T00:00:00Z,Enschede,photographer
http://www.wikidata.org/entity/Q60267617,Louwerinus Pleune,1887-08-28T00:00:00Z,Louwerinus Pleune,1939-01-09T00:00:00Z,Groningen,photographer
http://www.wikidata.org/entity/Q60267642,Jan Pleijsier,1882-01-03T00:00:00Z,Jan Pleijsier,1945-01-19T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60267692,Henrij van der Pluijm,1883-01-15T00:00:00Z,Henrij van der Pluijm,1961-11-11T00:00:00Z,Hengelo,photographer
http://www.wikidata.org/entity/Q60267718,Hendrikus Christoffel Antonius van de Pol,1887-10-24T00:00:00Z,Hendrikus Christoffel Antonius van de Pol,1961-05-08T00:00:00Z,Amersfoort,photographer
